,Title,City,Salary,Rating,Company
208,"Data Engineer, Data Science",RemoteHiring Surge30d+,NaN,4.1,Numerator
209,Data Scientist,Remote,$75K - $120K ,NaN,ForMotiv
210,Data Science Intern,Remote,$17 Per Hour,4.7,Noodle
211,Data Scientist,"Chevy Chase, MD30d+",NaN,3.5,GEICO
212,Computational Biologist / Data Scientist,"Cambridge, MATop Company14d",NaN,4.2,Novartis
213,Data Scientist,"New York, NYNew24h",NaN,3.7,AllianceBernstein
214,Machine Learning Data Scientist,"San Francisco, CA5d",NaN,4.9,Oura
215,Staff Data Scientist,"East Boston, MA30d+",NaN,3.6,"Alteryx, Inc."
216,Sr Data Scientist,"Salt Lake City, UT",$80K - $140K ,3.8,Zions Bancorporation
217,Data Scientist,Remote,$63 - $82 Per Hour,4.4,ids
218,Data Scientist,"San Jose, CATop Company30d+",NaN,4.1,PayPal
219,"Data Scientist, LTV - HBO Max","Bunker Hill Towers, CA30d+",NaN,3.7,HBO Max
220,Venmo Risk Data Scientist,"Chicago, ILTop Company24h",NaN,4.1,PayPal
221,"Associate Data Scientist I, II, or III","Salt Lake City, UT30d+",NaN,3.7,"BioFire Diagnostics, LLC."
222,Biological Data Scientist,"Richland, WA24h",NaN,4.2,Pacific Northwest National Laboratory
223,Data Scientist,"Los Altos, CAEasy Apply1d",NaN,NaN,"Alto Neuroscience, Inc."
224,Data Scientist - Remote Nationwide,"San Antonio, TX2d",NaN,3.6,UnitedHealth Group
225,Hire and Train Data Scientist/ Engineer,"San Francisco, CA19d",NaN,3.7,Cognizant Technology Solutions
226,Senior Data Scientist,"Austin, TX24h",NaN,4.5,Bumble
227,Data Scientist,"San Francisco, CA",$250K - $450K ,4.7,Blue Owl
228,Statistician (contract),RemoteTop Company13d,NaN,4.2,Pfizer
229,Data Scientist,Remote5d,NaN,2.8,U.Group
230,Data Engineer,"Jersey City, NJNew1d",NaN,3.7,Cognizant Technology Solutions
231,"Machine Learning, Data Scientist - Marketing",Remote7d,NaN,4.1,Getty Images
232,NLP - MRP Data Scientist,Remote.css-1831hoy{color:#ea7600;text-align:right;line-height:20px !important;}.css-jcbnij{color:#ea7600;text-align:right;line-height:20px !important;font-size:12px !important;font-weight:bold !important;}Hot6d,NaN,4.3,Espire Services
233,Scientist / Biologist - GMP QC,"Exton, PA",$37K - $41K ,3.4,Absorption Systems
234,Licensed Clinical Laboratory Scientist,"Atwater, CA",$53K - $106K ,NaN,"Castle Family Health Centers, Inc"
235,Senior Data Engineer,"New Haven, CT",$81K - $137K ,3.4,AVANGRID
236,"Marking Mix/ Multi-Touch Attribution Analytics Manager, Team Lead","New York, NY",$53K - $103K ,3.4,KANTAR
237,Data Scientist,"Westborough, MA",$65K - $113K ,3.1,Olympus Corporation of the Americas
238,Product Research and Development Scientist,"Granville, OH",$68K - $116K ,3.9,OWENS CORNING
239,Data Scientist,"Anderson, MO",$61K - $113K ,3.4,Walmart
240,Scientist-II Cellular Engineering,"San Antonio, TX",$40K - $87K ,2.2,BioBridge Global
241,Senior Data Engineer (Polygraph Clearance),"Chantilly, VA",$79K - $139K ,4.2,ManTech International Corporation
242,Data Analyst,"Philadelphia, PA",$44K - $84K ,3.1,Gift of Life Donor Program
243,Machine Learning Engineer,"Plano, TX",$68K - $109K ,3.8,Liberty Mutual Insurance
244,Web and Marketing Data Analyst,"Newport News, VA",$46K - $95K ,3.6,Ferguson
245,Scientist II or higher,"Kansas City, KS",$48K - $60K ,3.3,"Sekisui XenoTech, LLC"
246,"Research Scientist - Computer Vision, Machine Learning","Rockville, MD",$67K - $130K ,3.8,Intelligent Automation
