,Title,City,Salary,Rating,Company,Hourly,Salary without $ and K,Min_Salary,Max_Salary,Avg_Salary,State,Title Simp,Seniority
70,Data Scientist,Remote,$80K - $125K ,2.8,JM Talent Inc.,0, 80  -  125  ,80,125,102.5,Remote,data scientist,na
71,Data Scientist - Wearables,Remote,$80K - $190K ,3.8427956989247285,Invisalert Solutions,0, 80  -  190  ,80,190,135.0,Remote,data scientist,na
72,Sr Data Scientist,"Salt Lake City, UT",$80K - $140K ,3.8,Zions Bancorporation,0, 80  -  140  ,80,140,110.0,UT,data scientist,sr
73,Data Scientist,"Greensboro, NC",$36K - $51K ,3.6,LMS,0, 36  -  51  ,36,51,43.5,NC,data scientist,na
74,Data Scientist,"Lehi, UT",$70K - $90K ,4.6,Xyngular,0, 70  -  90  ,70,90,80.0,UT,data scientist,na
75,Data Science Intern,Remote,$17 Per Hour,4.7,Noodle,1, 17  ,34,34,34.0,Remote,na,na
76,Senior Data Engineer,"Reston, VA",$70K - $129K ,4.6,Novetta,0, 70  -  129  ,70,129,99.5,VA,data engineer,sr
77,Data Scientist,"Miami Lakes, FL",$60K - $129K ,3.8427956989247285,FinTrust Search Group,0, 60  -  129  ,60,129,94.5,FL,data scientist,na
78,"Medical Laboratory Scientist, IRL - Night Shift 1 1 1","San Antonio, TX",$40K - $73K ,2.2,BioBridge Global,0, 40  -  73  ,40,73,56.5,TX,na,na
79,Big Data Engineer/Developer,"McLean, VA",$81K - $147K ,4.2,ManTech International Corporation,0, 81  -  147  ,81,147,114.0,VA,data engineer,na
80,Hire and Train Data Scientist/ Engineer,"San Francisco, CA",$83K - $146K ,3.7,Cognizant Technology Solutions,0, 83  -  146  ,83,146,114.5,CA,data scientist,na
81,Data Engineer (Remote Opportunities Available),"Oklahoma City, OK",$54K - $100K ,3.8427956989247285,Bison Technologies,0, 54  -  100  ,54,100,77.0,OK,data engineer,na
82,"Sr. Scientist, Cell Therapy R&amp;D","Telford, PA",$59K - $115K ,2.7,"Secant Group, LLC",0, 59  -  115  ,59,115,87.0,PA,na,sr
83,Supply Chain Data Analyst (South of Milwaukee),"Milwaukee, WI",$46K - $83K ,3.6,Uline,0, 46  -  83  ,46,83,64.5,WI,analyst,na
84,Certifying Scientist - Toxicology,"Reno, NV",$50K - $123K ,4.4,MD Labs,0, 50  -  123  ,50,123,86.5,NV,na,na
85,Battery Management Systems (BMS) Scientist,"Woburn, MA",$66K - $134K ,4.1,SolidEnergy Systems,0, 66  -  134  ,66,134,100.0,MA,na,na
86,Cloud Data Engineer for Autonomous Driving,"Newark, CA",$94K - $130K ,4.1,Lucid Motors,0, 94  -  130  ,94,130,112.0,CA,data engineer,na
87,Senior Data Engineer,"Providence, RI",$91K - $153K ,3.6,VirginPulse,0, 91  -  153  ,91,153,122.0,RI,data engineer,sr
88,"NGS Scientist, Library Prep","Newark, CA",$108K - $197K ,4.2,Stealth Mode Startup,0, 108  -  197  ,108,197,152.5,CA,na,na
89,Investments Intermediate Quantitative Analyst,"Chicago, IL",$56K - $114K ,3.8427956989247285,Allstate Insurance Company,0, 56  -  114  ,56,114,85.0,IL,analyst,na
90,Senior DTC Data Analyst,"Portland, OR",$66K - $132K ,4.0,Columbia Sportswear,0, 66  -  132  ,66,132,99.0,OR,analyst,sr
91,Data Scientist,"Overland Park, KS",$60K - $115K ,3.8427956989247285,Sunlighten (435/Metcalf),0, 60  -  115  ,60,115,87.5,KS,data scientist,na
92,Experienced Data Engineer,"Indianapolis, IN",$77K - $90K ,3.8,Liberty Mutual Insurance,0, 77  -  90  ,77,90,83.5,IN,data engineer,na
93,Performance Improvement Data Analyst,"Chicago, IL",$61K - $71K ,3.3,RML Specialty Hospital,0, 61  -  71  ,61,71,66.0,IL,analyst,na
94,Data Engineer,"Chantilly, VA",$72K - $128K ,3.9,"General Dynamics Mission Systems, Inc",0, 72  -  128  ,72,128,100.0,VA,data engineer,na
95,Research Assistant or Scientist I,"Kansas City, KS",$32K - $46K ,3.3,"Sekisui XenoTech, LLC",0, 32  -  46  ,32,46,39.0,KS,na,na
96,Principal Scientist - Assay Development,"Branford, CT",$61K - $130K ,3.7,IsoPlexis,0, 61  -  130  ,61,130,95.5,CT,na,sr
97,Digital Marketing &amp; Data Analyst,"KenTownshipood, MI",$35K - $75K ,3.0,"Hull Lift Truck, Inc.",0, 35  -  75  ,35,75,55.0,MI,analyst,na
98,Jr. Data Engineer - (Hire and Train),"Tampa, FL",$57K - $107K ,3.7,Cognizant Technology Solutions,0, 57  -  107  ,57,107,82.0,FL,data engineer,jr
99,Data Engineer - MB,"Rosemont, IL",$71K - $89K ,3.5,Martin Brower,0, 71  -  89  ,71,89,80.0,IL,data engineer,na
100,LC/MS Protein Characterization Scientist,"San Diego, CA",$60K - $119K ,3.3,Eurofins,0, 60  -  119  ,60,119,89.5,CA,na,na
101,Analytic Consultant - Federal,"Washington, DC",$60K - $111K ,4.1,ASR ANALYTICS LLC,0, 60  -  111  ,60,111,85.5,DC,na,na
102,Marketing Data Scientist - Texas or Michigan,"Dallas, TX",$102K - $122K ,3.9,Comerica Bank,0, 102  -  122  ,102,122,112.0,TX,data scientist,na
103,Data Engineer,"Chantilly, VA",$81K - $163K ,4.3,Noblis,0, 81  -  163  ,81,163,122.0,VA,data engineer,na
104,Data Scientist,"Alexandria, VA",$83K - $98K ,3.8,"InnovaSystems International, LLC",0, 83  -  98  ,83,98,90.5,VA,data scientist,na
105,Data Scientist,"Milwaukee, WI",$71K - $126K ,3.6,Clarios,0, 71  -  126  ,71,126,98.5,WI,data scientist,na
