,Title,City,Salary,Rating,Company,Hourly,Salary without $ and K,Min_Salary,Max_Salary,Avg_Salary,State,Title Simp,Seniority
207,Data Engineer/Scientist TS/SCI w/POLY,"Tysons Corner, VA",$95K - $120K ,3.8427956989247285,AUGR LLC,0, 95  -  120  ,95,120,107.5,VA,data engineer,na
208,Data Engineer,"Arlington, VA",$70K - $129K ,4.9,IntraFi Network,0, 70  -  129  ,70,129,99.5,VA,data engineer,na
209,Clinical Research Scientist,"Watertown, MA",$35K - $67K ,3.3,"Lyra Therapeutics, Inc.",0, 35  -  67  ,35,67,51.0,MA,na,na
210,Data Scientist,"Fort Gordon, GA",$82K - $154K ,3.8427956989247285,"Roccomar, Inc.",0, 82  -  154  ,82,154,118.0,GA,data scientist,na
211,Healthcare Data Analyst (Accountable Care Organization),"Palm Springs, FL",$40K - $59K ,3.8,"Palm Beach Accountable Care Organization, LLC",0, 40  -  59  ,40,59,49.5,FL,analyst,na
212,Scientist - Ocular,"San Diego, CA",$53K - $76K ,3.4,Absorption Systems,0, 53  -  76  ,53,76,64.5,CA,na,na
213,Modeling &amp; Experimental Research Scientist for Materials in Extreme Environments,"Laurel, MD",$61K - $122K ,4.7,Johns Hopkins Applied Physics Laboratory (APL),0, 61  -  122  ,61,122,91.5,MD,na,na
214,QA Data Review Specialist (Pharmaceutical),Bristol,$29K - $77K ,3.8427956989247285,UPM Pharmaceuticals,0, 29  -  77  ,29,77,53.0,na,na,na
215,Senior Data Engineer,"Watertown, MA",$96K - $153K ,4.2,Athenahealth,0, 96  -  153  ,96,153,124.5,MA,data engineer,sr
216,Data Scientist,"Valley View Heights, OH",$70K - $123K ,3.6,Citizens,0, 70  -  123  ,70,123,96.5,OH,data scientist,na
217,Senior Data Consultant,"Austin, TX",$121K - $137K ,3.8427956989247285,Apgar Consulting,0, 121  -  137  ,121,137,129.0,TX,na,sr
218,Data Analyst,"Nashville, TN",$35K - $68K ,3.4,Knowledge Services,0, 35  -  68  ,35,68,51.5,TN,analyst,na
219,Data Engineer,"Camden, NJ",$76K - $133K ,3.3,NFI Industries,0, 76  -  133  ,76,133,104.5,NJ,data engineer,na
220,Clinical Data Analyst,"San Francisco, CA",$60K - $132K ,3.8427956989247285,Confidential,0, 60  -  132  ,60,132,96.0,CA,analyst,na
221,Clinical Laboratory Technologist - Medical Laboratory Scientist 1st Shift,"Buffalo, NY",$43K - $77K ,2.7,"OmniSeq, Inc.",0, 43  -  77  ,43,77,60.0,NY,na,na
222,Data Scientist,"Atlanta, GA",$86K - $144K ,4.0,Cox Communications Inc,0, 86  -  144  ,86,144,115.0,GA,data scientist,na
223,"Scientist, Workflow Development Group (CA)","Menlo Park, CA",$58K - $118K ,3.8,Akoya Biosciences,0, 58  -  118  ,58,118,88.0,CA,na,na
224,Data Scientist - AI Labs,"New York, NY",$113K - $190K ,4.1,BlackRock,0, 113  -  190  ,113,190,151.5,NY,data scientist,na
225,Payer Analytics Manager,"Deerfield, IL",$65K - $136K ,3.9,Lundbeck,0, 65  -  136  ,65,136,100.5,IL,manager,na
226,Research Scientist / Engineer – Wireless Communications &amp; Machine Learning,"Rockville, MD",$82K - $156K ,3.8,Intelligent Automation,0, 82  -  156  ,82,156,119.0,MD,ml,na
227,Data Scientist-Senior,"Washington, DC",$119K - $201K ,3.5,Perspecta,0, 119  -  201  ,119,201,160.0,DC,data scientist,sr
228,"Acoustic Signal Processing Engineer - Data Scientist, Machine Learning","Columbia, MD",$65K - $93K ,3.8427956989247285,Signal Systems Corporation,0, 65  -  93  ,65,93,79.0,MD,data scientist,na
229,Staff Scientist Assay Development,"Austin, TX",$93K - $179K ,3.8,Thermo Fisher - America,0, 93  -  179  ,93,179,136.0,TX,na,na
230,Senior Data Scientist,"Denver, CO",$87K - $153K ,3.8,CACI,0, 87  -  153  ,87,153,120.0,CO,data scientist,sr
231,Data Architect/ Senior/ Principal Data Modeler,"Plano, TX",$61K - $135K ,3.9,"Daman, Inc.",0, 61  -  135  ,61,135,98.0,TX,na,sr
232,Data Analyst,"Phoenix, AZ",$44K - $80K ,3.1,Knight Transportation,0, 44  -  80  ,44,80,62.0,AZ,analyst,na
233,Senior Data Scientist,"Tempe, AZ",$114K - $142K ,2.0,Global Nephrology Solutions,0, 114  -  142  ,114,142,128.0,AZ,data scientist,sr
234,"Sr. Scientist, Bioreactor Process Design","Redmond, WA",$68K - $129K ,4.8,Just - Evotec Biologics,0, 68  -  129  ,68,129,98.5,WA,na,sr
235,Machine Learning Scientist,"Egg Harbor Township, NJ",$84K - $148K ,3.8,Battelle,0, 84  -  148  ,84,148,116.0,NJ,ml,na
236,Data Scientist,"Cincinnati, OH",$73K - $117K ,3.8,Fifth Third Bank,0, 73  -  117  ,73,117,95.0,OH,data scientist,na
237,Geospatial Researcher/Data Scientist,"Alexandria, VA",$72K - $124K ,3.8,Battelle,0, 72  -  124  ,72,124,98.0,VA,data scientist,na
238,Data Engineer,"Oklahoma City, OK",$52K - $106K ,3.4,First Fidelity Bank,0, 52  -  106  ,52,106,79.0,OK,data engineer,na
239,Azure Data Engineer,"Los Angeles, CA",$81K - $139K ,4.1,Avanade,0, 81  -  139  ,81,139,110.0,CA,data engineer,na
240,eCommerce/Marketing Data Analyst,"Arlington Heights, IL",$52K - $96K ,3.4,Hopkins Manufacturing Corporation,0, 52  -  96  ,52,96,74.0,IL,analyst,na
241,Data Analyst,"Bloomington, IN",$44K - $84K ,3.6,National Salvage & Service Corporation,0, 44  -  84  ,44,84,64.0,IN,analyst,na
242,Data Engineer,"Orlando, FL",$66K - $91K ,3.8427956989247285,Lakeland Regional Health,0, 66  -  91  ,66,91,78.5,FL,data engineer,na
243,"Senior Staff Scientist, NGS DNA Amplification","Newark, CA",$152K - $180K ,4.2,Stealth Mode Startup,0, 152  -  180  ,152,180,166.0,CA,na,sr
244,Senior Data Scientist - Defense &amp; Intelligence,"Fort Meade, MD",$84K - $108K ,4.3,Elder Research Inc,0, 84  -  108  ,84,108,96.0,MD,data scientist,sr
245,Data Analyst - Anthem BHI,"Sacramento, CA",$28K - $52K ,2.7,WellSpace Health,0, 28  -  52  ,28,52,40.0,CA,analyst,na
246,Data Science Manager,"New York, NY",$87K - $182K ,3.4,Biz2Credit Inc.,0, 87  -  182  ,87,182,134.5,NY,manager,na
247,Quality Data Analyst Coordinator,"Fort Washakie, WY",$31K - $70K ,3.8427956989247285,Connections Healthcare Staffing,0, 31  -  70  ,31,70,50.5,WY,analyst,na
248,Sr. Business Intelligence Analyst,"Bellevue, WA",$54K - $112K ,3.9,Inviso Corporation,0, 54  -  112  ,54,112,83.0,WA,analyst,sr
249,"Senior Deep Learning Scientist, Mapping &amp; Localization - Autonomous Vehicles","Redmond, WA",$123K - $201K ,4.8,NVIDIA,0, 123  -  201  ,123,201,162.0,WA,na,sr
250,"Associate Scientist, Reagents (Menlo Park, CA)","Menlo Park, CA",$103K - $121K ,3.8,Akoya Biosciences,0, 103  -  121  ,103,121,112.0,CA,na,na
251,Staff Data Engineer (Oracle ERP/HCM),"Tempe, AZ",$62K - $115K ,3.5,Freedom Financial Network,0, 62  -  115  ,62,115,88.5,AZ,data engineer,na
252,"Senior Deep Learning Scientist, Mapping &amp; Localization - Autonomous Vehicles","Redmond, WA",$123K - $201K ,4.8,NVIDIA,0, 123  -  201  ,123,201,162.0,WA,na,sr
253,"Associate Scientist, Reagents (Menlo Park, CA)","Menlo Park, CA",$103K - $121K ,3.8,Akoya Biosciences,0, 103  -  121  ,103,121,112.0,CA,na,na
254,Staff Data Engineer (Oracle ERP/HCM),"Tempe, AZ",$62K - $115K ,3.5,Freedom Financial Network,0, 62  -  115  ,62,115,88.5,AZ,data engineer,na
255,Principal Scientist – Battery Cell Development,"Chico, CA",$88K - $176K ,3.8427956989247285,"Nanotech Energy, Inc.",0, 88  -  176  ,88,176,132.0,CA,na,sr
256,Data Modeler,"Dover, NH",$66K - $127K ,3.8,Liberty Mutual Insurance,0, 66  -  127  ,66,127,96.5,NH,na,na
257,Computer Scientist Level 3,"Fort Meade, MD",$68K - $114K ,3.8,CACI,0, 68  -  114  ,68,114,91.0,MD,na,na
258,Senior Data Scientist,"Chicago, IL",$90K - $160K ,4.1,BrainWorks,0, 90  -  160  ,90,160,125.0,IL,data scientist,sr
259,Senior Actuarial Data Scientist,"Newport Beach, CA",$91K - $110K ,3.7,Pacific Life,0, 91  -  110  ,91,110,100.5,CA,data scientist,sr
260,Senior Environmental Scientist and Toxicologist,"Charlottesville, VA",$73K - $92K ,3.8427956989247285,MBDC,0, 73  -  92  ,73,92,82.5,VA,na,sr
261,Oracle PL/SQL Data Engineer (REMOTE),"Stamford, CT",$100K - $140K ,3.8,CareCentrix,0, 100  -  140  ,100,140,120.0,CT,data engineer,na
262,Quality Improvement Data Analyst - Nutrition,"Boston, MA",$49K - $97K ,4.1,Boston Children's Hospital,0, 49  -  97  ,49,97,73.0,MA,analyst,na
263,Operations Metrics - Data Analyst,"Indianapolis, IN",$48K - $104K ,3.4,Knowledge Services,0, 48  -  104  ,48,104,76.0,IN,analyst,na
264,"Senior Scientist, Formulations","Bothell, WA",$69K - $131K ,3.9,Lundbeck,0, 69  -  131  ,69,131,100.0,WA,na,sr
265,Data Scientist II,"Louisville, CO",$74K - $132K ,3.8,Sierra Nevada Corporation,0, 74  -  132  ,74,132,103.0,CO,data scientist,na
266,Clinical Lab Scientist,"San Diego, CA",$50K - $92K ,1.7,DermTech,0, 50  -  92  ,50,92,71.0,CA,na,na
267,Data Scientist,"North Miami, FL",$66K - $107K ,3.8427956989247285,TalentoHCM,0, 66  -  107  ,66,107,86.5,FL,data scientist,na
268,"Principal Scientist, High Throughput Analytical","Redmond, WA",$95K - $192K ,4.8,Just - Evotec Biologics,0, 95  -  192  ,95,192,143.5,WA,na,sr
269,Medical Lab Scientist (MLS) Mercy Health St. Elizabeth Youngstown,"Youngstown, OH",$17 - $24 Per Hour,3.6,Mercy Health,1, 17 -  24  ,34,48,41.0,OH,na,na
270,Signal and Information Processing Research Scientist,"Reston, VA",$64K - $135K ,3.4,"Metron, Inc.",0, 64  -  135  ,64,135,99.5,VA,na,na
271,Sr. Data Analyst Manager,"Irvine, CA",$73K - $152K ,3.6,"CPT Group, Inc.",0, 73  -  152  ,73,152,112.5,CA,analyst,sr
272,Sr Data Engineer- W2 only- 10+ years experience,"San Jose, CA",$108K - $177K ,3.8427956989247285,iCloudNexus,0, 108  -  177  ,108,177,142.5,CA,data engineer,sr
273,Analytics Consultant - Clinical Operations – 1212 Deming Way,"Madison, WI",$64K - $118K ,3.9,UW Health,0, 64  -  118  ,64,118,91.0,WI,na,na
274,Senior Data Scientist,"Washington, DC",$98K - $176K ,3.8427956989247285,"TechSource, Inc.",0, 98  -  176  ,98,176,137.0,DC,data scientist,sr
275,GBSD Principal Data Scientist,"Roy, UT",$77K - $146K ,4.0,Northrop Grumman,0, 77  -  146  ,77,146,111.5,UT,data scientist,sr
276,Data Scientist - 516078,"Rancho Cucamonga, CA",$62K - $128K ,3.8427956989247285,Revel IT,0, 62  -  128  ,62,128,95.0,CA,data scientist,na
277,Quality Data Analyst,"Liverpool, NY",$41K - $77K ,3.5,Lifeplan,0, 41  -  77  ,41,77,59.0,NY,analyst,na
278,Senior Data Engineer,"Portsmouth, NH",$97K - $175K ,3.8427956989247285,Market Street Talent,0, 97  -  175  ,97,175,136.0,NH,data engineer,sr
279,ERP Data Analyst,"Fort Mill, SC",$39K - $68K ,3.8427956989247285,Wikoff Color Corp,0, 39  -  68  ,39,68,53.5,SC,analyst,na
280,Business Data Analyst - Operations,"Indianapolis, IN",$46K - $96K ,3.4,Knowledge Services,0, 46  -  96  ,46,96,71.0,IN,analyst,na
281,Business Intelligence Analyst- Florida Applicant Only,"Boca Raton, FL",$46K - $92K ,3.4,TouchSuite,0, 46  -  92  ,46,92,69.0,FL,analyst,na
282,Customer Service Data Analyst - Albuquerque or Remote Work Option,"Albuquerque, NM",$45K - $81K ,3.2,PNM Resources,0, 45  -  81  ,45,81,63.0,NM,analyst,na
283,R&amp;D Analytical Manager,"Chattanooga, TN",$114K ,3.8427956989247285,ProStaff Solutions Inc,0, 114  ,114,114,114.0,TN,manager,na
284,"VP of Data, MMM","Columbia, MD",$96K - $207K ,3.8427956989247285,Corporate Brokers,0, 96  -  207  ,96,207,151.5,MD,na,na
285,DDM – Data Scientist,"New York, NY",$77K - $152K ,3.4,Biz2Credit Inc,0, 77  -  152  ,77,152,114.5,NY,data scientist,na
286,GBSD Principal Data Scientist,"Roy, UT",$77K - $146K ,4.0,Northrop Grumman,0, 77  -  146  ,77,146,111.5,UT,data scientist,sr
287,Biomedical Data Scientist,"Frederick, MD",$81K - $134K ,3.9,Leidos,0, 81  -  134  ,81,134,107.5,MD,data scientist,na
288,Senior Data Scientist,"Bethesda, MD",$93K - $168K ,3.9,Leidos,0, 93  -  168  ,93,168,130.5,MD,data scientist,sr
289,SAS Data Engineer,"Arlington, VA",$74K - $143K ,3.6,CareJourney,0, 74  -  143  ,74,143,108.5,VA,data engineer,na
290,Application Scientist/Lab manager - Diabetes Research,"Chicago, IL",$52K - $107K ,3.8427956989247285,O2M Technologies,0, 52  -  107  ,52,107,79.5,IL,manager,na
291,Mortgage Records Data Analyst,"Fort Washington, PA",$30K - $55K ,3.6,NewRez,0, 30  -  55  ,30,55,42.5,PA,analyst,na
292,Sr. Health Policy Data Analyst,"Nashville, TN",$60K - $108K ,3.8,Vanderbilt University Medical Center,0, 60  -  108  ,60,108,84.0,TN,analyst,sr
293,"Principal Scientist 2, In Vitro","Worcester, MA",$72K - $146K ,3.4,Charles River Laboratories,0, 72  -  146  ,72,146,109.0,MA,na,sr
294,Big Data Engineer,"Chantilly, VA",$78K - $163K ,4.0,Peraton,0, 78  -  163  ,78,163,120.5,VA,data engineer,na
295,"Senior Clinical Scientist/Director, Clinical Science","Hampton, NJ",$53 - $90 Per Hour,3.7,"Celldex Therapeutics, Inc.",1, 53 -  90  ,106,180,143.0,NJ,director,sr
296,Medical Lab Technician/Medical Laboratory Scientist (MLS/MT) - New Vision Lab Mercy Health - Full Time,"Lima, OH",$41K - $76K ,3.6,Mercy Health,0, 41  -  76  ,41,76,58.5,OH,na,na
297,Data Science Intern,Remote,$17 Per Hour,4.7,Noodle,1, 17  ,34,34,34.0,Remote,na,na
298,Data Scientist,Remote,$75K - $120K ,3.8427956989247285,ForMotiv,0, 75  -  120  ,75,120,97.5,Remote,data scientist,na
299,Data Scientist,"San Francisco, CA",$250K - $450K ,4.7,Blue Owl,0, 250  -  450  ,250,450,350.0,CA,data scientist,na
300,Sr. Data Scientist,Remote,$150K - $165K ,4.0,Innovar Group,0, 150  -  165  ,150,165,157.5,Remote,data scientist,sr
301,Data Scientist,Remote,$63 - $82 Per Hour,4.4,ids,1, 63 -  82  ,126,164,145.0,Remote,data scientist,na
302,Data Scientist,"College Park, MD",$61K - $103K ,4.3,University of Maryland,0, 61  -  103  ,61,103,82.0,MD,data scientist,na
303,Big Data Engineer .Net,"Washington, DC",$75K - $143K ,3.8427956989247285,"Nard, LLC",0, 75  -  143  ,75,143,109.0,DC,data engineer,na
304,Fixed Income Data/Quantitative Analyst,"Milwaukee, WI",$47K - $99K ,4.0,Northwestern Mutual,0, 47  -  99  ,47,99,73.0,WI,analyst,na
305,Data Scientist,"Boston, MA",$81K - $132K ,3.5,Wayfair,0, 81  -  132  ,81,132,106.5,MA,data scientist,na
306,System Engineer/Data Modeler,"Fort Meade, MD",$74K - $150K ,3.8427956989247285,Strategic Analytix,0, 74  -  150  ,74,150,112.0,MD,na,na
307,Computer Scientist II,"Tucson, AZ",$81K - $125K ,3.9,"Modular Mining Systems, Inc.",0, 81  -  125  ,81,125,103.0,AZ,na,na
308,Lead Clinical Laboratory Scientist,"Newport Beach, CA",$56K - $100K ,2.1,"HRC Fertility Management, LLC",0, 56  -  100  ,56,100,78.0,CA,na,sr
309,Data Modeler and Developer in GCP,"Denver, CO",$48K - $88K ,3.0,Transamerica,0, 48  -  88  ,48,88,68.0,CO,na,na
310,Data Scientist,"San Francisco, CA",$96K - $162K ,3.9,Clarify Health Solutions.,0, 96  -  162  ,96,162,129.0,CA,data scientist,na
311,Data Scientist,"Herndon, VA",$101K - $165K ,4.6,Novetta,0, 101  -  165  ,101,165,133.0,VA,data scientist,na
312,Data Scientist,"Menlo Park, CA",$104K - $180K ,3.7,Humanyze,0, 104  -  180  ,104,180,142.0,CA,data scientist,na
313,Data Scientist,"Honolulu, HI",$80K - $143K ,3.1,Central Pacific Bank,0, 80  -  143  ,80,143,111.5,HI,data scientist,na
314,Data Scientist,"Cambridge, MA",$73K - $134K ,4.0,Sanofi,0, 73  -  134  ,73,134,103.5,MA,data scientist,na
315,Data Analyst-HEDIS &amp; Star,"Long Beach, CA",$49K - $91K ,4.1,SCAN Group,0, 49  -  91  ,49,91,70.0,CA,analyst,na
316,Data Scientist,"San Jose, CA",$135K - $174K ,3.6,McAfee,0, 135  -  174  ,135,174,154.5,CA,data scientist,na
317,Marketing Data Analyst,"New Rochelle, NY",$47K - $95K ,3.0,Benchmark Education Company,0, 47  -  95  ,47,95,71.0,NY,analyst,na
318,Data Scientist,"McLean, VA",$91K - $146K ,4.1,Thomson Reuters,0, 91  -  146  ,91,146,118.5,VA,data scientist,na
319,Scientist (Primary Cell / Product),"San Diego, CA",$70K - $103K ,3.8427956989247285,iXCells Biotechnologies,0, 70  -  103  ,70,103,86.5,CA,na,na
320,"Senior Scientist, Exploratory Group, Research and Development","Menlo Park, CA",$92K - $145K ,3.8,Akoya Biosciences,0, 92  -  145  ,92,145,118.5,CA,na,sr
321,"Business Intelligence Analyst - Richmond, VA","Richmond, VA",$47K - $86K ,3.5,Lansing Building Products,0, 47  -  86  ,47,86,66.5,VA,analyst,na
322,Data Modeler (Data Vault),"Boston, MA",$66K - $127K ,3.8,Liberty Mutual Insurance,0, 66  -  127  ,66,127,96.5,MA,na,na
323,Data Scientist,"Pittsburgh, PA",$74K - $118K ,3.7,PNC Financial Services Group,0, 74  -  118  ,74,118,96.0,PA,data scientist,na
324,RN-Nurse Scientist,"Saint Louis, MO",$53K - $84K ,3.6,SSM Health,0, 53  -  84  ,53,84,68.5,MO,na,na
325,Principal Data Scientist / Senior Principal Data Scientist,"Salt Lake City, UT",$91K - $183K ,4.0,Northrop Grumman,0, 91  -  183  ,91,183,137.0,UT,data scientist,sr
326,Data Scientist,"Kansas City, MO",$66K - $108K ,4.1,Commerce Bank,0, 66  -  108  ,66,108,87.0,MO,data scientist,na
327,Data Scientist,"Chicago, IL",$85K - $145K ,2.6,Care Advisors Inc,0, 85  -  145  ,85,145,115.0,IL,data scientist,na
328,Research Scientist - Software Defined Radio,"College Park, MD",$55K - $74K ,3.5,Perspecta,0, 55  -  74  ,55,74,64.5,MD,na,na
329,"Data Engineer, Medical Diagnostics","Mountain View, CA",$72K - $133K ,3.5,Specific Diagnostics,0, 72  -  133  ,72,133,102.5,CA,data engineer,na
330,"Principal Scientist / Director, Immunology","Boston, MA",$102K - $202K ,5.0,HotSpot Therapeutics,0, 102  -  202  ,102,202,152.0,MA,director,sr
331,Data Scientist,"Plainsboro, NJ",$72K - $125K ,3.8427956989247285,Penfield Search Partners,0, 72  -  125  ,72,125,98.5,NJ,data scientist,na
332,Data Scientist,"San Mateo, CA",$94K - $162K ,4.6,SetSail,0, 94  -  162  ,94,162,128.0,CA,data scientist,na
333,Advanced Healthcare Data Analyst,"Corpus Christi, TX",$36K - $74K ,4.1,Driscoll Children's Hospital,0, 36  -  74  ,36,74,55.0,TX,analyst,na
334,Data Scientist (TS/SCI poly),"Chantilly, VA",$80K - $141K ,4.0,Northrop Grumman,0, 80  -  141  ,80,141,110.5,VA,data scientist,na
335,Data Scientist,"Arlington, VA",$98K - $152K ,4.0,Visa,0, 98  -  152  ,98,152,125.0,VA,data scientist,na
336,Data Scientist,"Austin, TX",$108K - $123K ,4.7,Literati,0, 108  -  123  ,108,123,115.5,TX,data scientist,na
337,Data Scientist,"Boston, MA",$76K - $135K ,3.9,McGraw Hill,0, 76  -  135  ,76,135,105.5,MA,data scientist,na
338,"Lead, Data Scientist","New York, NY",$117K - $197K ,3.4,Macy’s,0, 117  -  197  ,117,197,157.0,NY,data scientist,sr
339,Data Scientist,"Omaha, NE",$71K - $112K ,4.3,Buildertrend,0, 71  -  112  ,71,112,91.5,NE,data scientist,na
340,Data Science Support Analyst (Senior),"McLean, VA",$95K - $162K ,3.9,BAE Systems,0, 95  -  162  ,95,162,128.5,VA,analyst,sr
341,Quantitative Researcher,"San Francisco, CA",$115K - $163K ,3.8427956989247285,VertiSystem Inc,0, 115  -  163  ,115,163,139.0,CA,na,na
342,Sr. Data Analyst,"Dublin, CA",$92K - $186K ,4.0,Patelco Credit Union,0, 92  -  186  ,92,186,139.0,CA,analyst,sr
343,"Data Analyst - Portsmouth, Corporate Headquarters","Portsmouth, NH",$49K - $91K ,3.5,Service Credit Union,0, 49  -  91  ,49,91,70.0,NH,analyst,na
344,Data Scientist,"Los Angeles, CA",$62K - $126K ,4.6,Tatari,0, 62  -  126  ,62,126,94.0,CA,data scientist,na
345,IT Data Analyst,"Greenville, SC",$52K - $102K ,4.5,Southern Management Corporation,0, 52  -  102  ,52,102,77.0,SC,analyst,na
346,Data Modeler,"Chantilly, VA",$69K - $156K ,3.5,Perspecta,0, 69  -  156  ,69,156,112.5,VA,na,na
347,Software Engineer and Scientist,"Half Moon Bay, CA",$100K - $174K ,3.8427956989247285,"GenNext Technologies, Inc.",0, 100  -  174  ,100,174,137.0,CA,na,na
348,Data Scientist,"Culver City, CA",$80K - $145K ,4.6,Kernel,0, 80  -  145  ,80,145,112.5,CA,data scientist,na
349,Data Scientist,"San Diego, CA",$123K - $170K ,4.1,Experian,0, 123  -  170  ,123,170,146.5,CA,data scientist,na
350,Data Scientist,"Cincinnati, OH",$74K - $121K ,3.9,Western & Southern Financial Group,0, 74  -  121  ,74,121,97.5,OH,data scientist,na
351,Data Scientist,"College Park, MD",$61K - $103K ,4.3,University of Maryland,0, 61  -  103  ,61,103,82.0,MD,data scientist,na
352,Actuary - Data Science &amp; Advanced Analytics,"Aliso Viejo, CA",$89K - $156K ,3.7,Pacific Life,0, 89  -  156  ,89,156,122.5,CA,na,na
353,Fixed Income Data/Quantitative Analyst,"Milwaukee, WI",$47K - $99K ,4.0,Northwestern Mutual,0, 47  -  99  ,47,99,73.0,WI,analyst,na
354,Data Scientist,"Washington, DC",$65K - $111K ,3.8,Analytica,0, 65  -  111  ,65,111,88.0,DC,data scientist,na
355,Data Scientist,"Los Altos, CA",$117K - $162K ,3.8427956989247285,"Alto Neuroscience, Inc.",0, 117  -  162  ,117,162,139.5,CA,data scientist,na
356,Data Scientist,"Baltimore, MD",$70K - $103K ,4.3,Emocha Mobile Health Inc,0, 70  -  103  ,70,103,86.5,MD,data scientist,na
357,Data Scientist,"Chicago, IL",$70K - $118K ,4.6,Eleks,0, 70  -  118  ,70,118,94.0,IL,data scientist,na
358,Big Data Engineer .Net,"Washington, DC",$75K - $143K ,3.8427956989247285,"Nard, LLC",0, 75  -  143  ,75,143,109.0,DC,data engineer,na
359,Data Scientist,"San Francisco, CA",$111K - $185K ,4.2,Tubi,0, 111  -  185  ,111,185,148.0,CA,data scientist,na
360,Data Scientist,"Minneapolis, MN",$72K - $131K ,4.3,FOODSBY,0, 72  -  131  ,72,131,101.5,MN,data scientist,na
361,Data Scientist,"Nashville, TN",$66K - $116K ,3.3,SmileDirectClub,0, 66  -  116  ,66,116,91.0,TN,data scientist,na
362,Data Scientist,"Boulder, CO",$91K - $138K ,4.1,Honey,0, 91  -  138  ,91,138,114.5,CO,data scientist,na
363,Data Scientist,"Austin, TX",$135K - $151K ,4.3,Cloudflare,0, 135  -  151  ,135,151,143.0,TX,data scientist,na
364,Data Scientist - Machine Learning/Cortex Data Science,"Boston, MA",$103K - $173K ,4.2,Twitter,0, 103  -  173  ,103,173,138.0,MA,data scientist,na
365,Data Scientist,"Herndon, VA",$62K - $105K ,4.1,LOCKHEED MARTIN CORPORATION,0, 62  -  105  ,62,105,83.5,VA,data scientist,na
366,Data Scientist,"New York, NY",$130K - $167K ,4.0,Disney Streaming Services,0, 130  -  167  ,130,167,148.5,NY,data scientist,na
367,Data Scientist,"Boston, MA",$81K - $132K ,3.5,Wayfair,0, 81  -  132  ,81,132,106.5,MA,data scientist,na
368,"Data Scientist, Data &amp; Visualization (Contract)","Los Gatos, CA",$97K - $156K ,3.5,STAR Labs,0, 97  -  156  ,97,156,126.5,CA,data scientist,na
369,Data Scientist,"Cambridge, MA",$70K - $123K ,4.3,Panjiva,0, 70  -  123  ,70,123,96.5,MA,data scientist,na
370,Market Research Data Analyst,"Framingham, MA",$43K - $79K ,3.6,Phoenix Marketing International,0, 43  -  79  ,43,79,61.0,MA,analyst,na
371,Data Scientist,"San Diego, CA",$82K - $124K ,4.3,Knowesis Inc.,0, 82  -  124  ,82,124,103.0,CA,data scientist,na
372,Data Scientist,Remote,$75K - $120K ,3.8427956989247285,ForMotiv,0, 75  -  120  ,75,120,97.5,Remote,data scientist,na
373,Data Scientist,"San Francisco, CA",$250K - $450K ,4.7,Blue Owl,0, 250  -  450  ,250,450,350.0,CA,data scientist,na
374,Senior Data Scientist,Remote,$110K - $140K ,3.8427956989247285,competitive balance analytics,0, 110  -  140  ,110,140,125.0,Remote,data scientist,sr
375,Data Scientist,Remote,$80K - $125K ,2.8,JM Talent Inc.,0, 80  -  125  ,80,125,102.5,Remote,data scientist,na
376,Data Scientist - Wearables,Remote,$80K - $190K ,3.8427956989247285,Invisalert Solutions,0, 80  -  190  ,80,190,135.0,Remote,data scientist,na
377,Sr Data Scientist,"Salt Lake City, UT",$80K - $140K ,3.8,Zions Bancorporation,0, 80  -  140  ,80,140,110.0,UT,data scientist,sr
378,Data Scientist,"Lehi, UT",$70K - $90K ,4.6,Xyngular,0, 70  -  90  ,70,90,80.0,UT,data scientist,na
379,Data Science Intern,Remote,$17 Per Hour,4.7,Noodle,1, 17  ,34,34,34.0,Remote,na,na
380,Data Scientist,Remote,$75K - $120K ,3.8427956989247285,ForMotiv,0, 75  -  120  ,75,120,97.5,Remote,data scientist,na
381,Data Science Intern,Remote,$17 Per Hour,4.7,Noodle,1, 17  ,34,34,34.0,Remote,na,na
382,Data Scientist,"San Francisco, CA",$250K - $450K ,4.7,Blue Owl,0, 250  -  450  ,250,450,350.0,CA,data scientist,na
383,Sr Data Scientist,"Salt Lake City, UT",$80K - $140K ,3.8,Zions Bancorporation,0, 80  -  140  ,80,140,110.0,UT,data scientist,sr
384,Data Scientist,Remote,$63 - $82 Per Hour,4.4,ids,1, 63 -  82  ,126,164,145.0,Remote,data scientist,na
385,Data Scientist,"New York, NY",$107K - $176K ,4.4,Tapad,0, 107  -  176  ,107,176,141.5,NY,data scientist,na
386,Senior Data Engineer,"Chicago, IL",$82K - $143K ,3.8427956989247285,"Amount, Inc",0, 82  -  143  ,82,143,112.5,IL,data engineer,sr
387,Data Scientist,"New York, NY",$67K - $113K ,3.5,Cardlytics,0, 67  -  113  ,67,113,90.0,NY,data scientist,na
388,Data Scientist,"Herndon, VA",$73K - $112K ,3.1,"Stride, Inc.",0, 73  -  112  ,73,112,92.5,VA,data scientist,na
389,Data Scientist,"Ontario, CA",$99K - $122K ,4.3,Genentech,0, 99  -  122  ,99,122,110.5,CA,data scientist,na
390,Data Scientist,"San Diego, CA",$73K - $118K ,3.5,sensemetrics,0, 73  -  118  ,73,118,95.5,CA,data scientist,na
391,Data Scientist,"Newark, NJ",$106K - $111K ,3.8,Prudential,0, 106  -  111  ,106,111,108.5,NJ,data scientist,na
